station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
e69d003a-8f4c-4463-a952-e2b6a69bfa4f,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,1,JRバス中国,兼広,庚ハイツ
4bd9c662-89aa-4daa-a2fb-4a634eb25c22,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,2,,兼広,庚ハイツ
f167dce9-cc30-4f43-9c89-30c7aa962bc0,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,3,,兼広,庚ハイツ
3cb0d3d5-e1a3-4df3-8df2-69a5e6b9979b,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,4,,兼広,庚ハイツ
0345caa4-6df4-4f9f-a307-45c9fec800a5,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,5,,兼広,庚ハイツ
f63d2646-670d-4b63-8f88-b5e067d76e7e,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,6,,兼広,庚ハイツ
28d5de37-fd54-478d-afe6-010b631a463f,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,7,,兼広,庚ハイツ
7b3ac624-ee34-4f5b-8cb1-0dac5dcbe303,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,8,,兼広,庚ハイツ
cfefa774-699c-4502-a9ed-77b1ac88e9b9,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,9,,兼広,庚ハイツ
4737cfb0-4aec-4c79-b77f-fb5ea8d7d9d8,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,10,,兼広,庚ハイツ
29d7c2d4-fe7c-4cee-a00f-3b2d31508196,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,11,,兼広,庚ハイツ
b255de3e-713e-4776-9fe0-1a62cb2caf70,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,12,,兼広,庚ハイツ
451d41e0-9db9-4581-8f67-2e23d3f6bf76,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,13,,兼広,庚ハイツ
4c7f00de-beda-4fd7-bace-e769d7aa3b22,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,14,,兼広,庚ハイツ
1cf97ec7-a187-4704-8bc8-8cb0d12a3bc9,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,15,,兼広,庚ハイツ
0b9c5b95-b1cc-4fd9-b768-8dbcc5963e5d,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,16,,兼広,庚ハイツ
c514c9ae-1d92-4bf1-a2bd-99e8b4d716f2,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,17,,兼広,庚ハイツ
05e4c605-44df-4e99-bbab-e86c8438a228,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,18,,兼広,庚ハイツ
7e94639e-e84a-4e60-89c6-e218cc475570,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,19,,兼広,庚ハイツ
21c49846-e635-4dd7-81ce-1001ff741fcb,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,20,,兼広,庚ハイツ
6a4fc19f-7885-43b2-824f-b1b21a7ce0ef,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,21,,兼広,庚ハイツ
bf37a1bd-62d2-43cf-bec4-f5dd0018e236,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,22,,兼広,庚ハイツ
5ff7098b-dfdf-4add-83f0-61d26fd07fe6,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,23,,兼広,庚ハイツ
faeeabc4-1de2-492f-8f82-616092ef16b3,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,24,,兼広,庚ハイツ
e98fd637-c30a-4088-aedc-eda3efc84557,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,25,,兼広,庚ハイツ
c9b2bc80-5e31-42ce-b352-2b06d2fa8196,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,26,,兼広,庚ハイツ
f8e056af-ec3a-4187-b0af-354e4c873b06,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,27,,兼広,庚ハイツ
7f6bb829-0589-4f19-a2ab-42e435a5a6d3,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,28,,兼広,庚ハイツ
a7dae329-07eb-4f41-a0dd-7b543246dd25,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,29,,兼広,庚ハイツ
9db282c5-f97d-4b61-ab5b-2ab3cae50fc1,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,30,,兼広,庚ハイツ
a9cbac3f-3369-46d7-9baa-9b91e741e1dc,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,31,,兼広,庚ハイツ
84365446-3b89-4f22-a352-53bbbe8ae0d8,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,32,,兼広,庚ハイツ
08a834a1-c3e8-483d-a56e-f84f25357b5c,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,33,,兼広,庚ハイツ
f99cbd66-991b-498f-a7ad-03c0c13f8e2d,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,34,,兼広,
a5e65db8-96fe-44be-94bf-685f96dc146f,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,35,,兼広,
07e575a9-0aa3-4d69-89cd-7f352439da2d,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,36,,兼広,
230fa533-be2d-4029-bdbf-8ac4bfa28b30,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,37,,兼広,
58db680b-9edc-4461-af1d-f0f43924d443,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,38,,兼広,
d4eb9443-67c0-4be0-81fe-3f5b9f0642d0,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,39,,兼広,
7efe3a6e-583d-487a-8857-1978e3709e93,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,40,,兼広,
df923b30-580d-4f74-ad41-d255b6af0ec3,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,41,,兼広,
43c23646-07f5-401a-b1b3-4a416a79d36b,ace6fe4b-6cfa-442b-b4a1-005561668aef,,,42,,兼広,
9e9c5d4e-0711-4c0b-91eb-f7af33ff3b59,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,1,JRバス中国,広島大学,ブールバール
01894270-f459-460f-a27e-8a66a2cc3410,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,2,JRバス中国,広島大学,ブールバール
901015d8-c1d9-49bd-99df-23e6fe3e0c55,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,3,JRバス中国,広島大学,ブールバール
68526790-88f9-4223-becd-92788079dbff,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,4,JRバス中国,広島大学,ブールバール
a2ed1796-175f-426e-943d-d221e7118121,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,5,JRバス中国,広島大学,ブールバール
81382465-65a2-4dff-9889-e67646c79aaa,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,6,JRバス中国,広島大学,ブールバール
3df9abff-5ffb-494b-b249-f78235d92e37,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,7,JRバス中国,広島大学,ブールバール
286b3022-a84d-44be-b7bf-6a56c6f893fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,8,JRバス中国,広島大学,ブールバール
1b690eb2-c8e5-4029-b704-c29907720bf3,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,9,JRバス中国,広島大学,ブールバール
d2ac8b48-0dcf-4fe0-b211-77ac3eabfb61,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,10,JRバス中国,西条駅,ブールバール
4ea6ed11-6a44-4d0e-84be-aa52aa8304fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,11,JRバス中国,西条駅,ブールバール
15073861-91cc-46fd-bfbd-fa03a0d8696b,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,12,JRバス中国,西条駅,ブールバール
04487413-808a-41ac-a628-9fe9eadac026,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,13,JRバス中国,西条駅,ブールバール
0583f49d-d6c1-45ee-a59d-20618378150b,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,14,JRバス中国,西条駅,ブールバール
75f0e8f7-e017-42c1-91cd-dcaeb054fc65,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,15,JRバス中国,西条駅,ブールバール
7b3256fd-10b7-4207-9a14-37b95b90c4f0,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,16,JRバス中国,西条駅,ブールバール
7081d314-ae7f-4a99-ab5a-d8b1cddfc5ba,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,17,JRバス中国,西条駅,ブールバール
3a78f6bd-5ff8-4a30-a660-96407b77f9d1,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,18,JRバス中国,西条駅,ブールバール
fd4a935f-19ed-4f20-95a2-ad05148a2b3e,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,19,JRバス中国,西条駅,ブールバール
c7be291f-892d-4238-b827-9aee152b6b72,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,20,JRバス中国,西条駅,ブールバール
ce3435de-dcc7-4bd7-b40a-b0b9f84440b9,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,21,JRバス中国,西条駅,ブールバール
2e86b296-ab15-46e9-9924-0837e22196fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,22,JRバス中国,西条駅,ブールバール
109d6d5e-90e1-4a34-afa2-87346df32a57,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,23,JRバス中国,西条駅,ブールバール
